compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
60_1826	selected	DC	0.3532	0.2223	0.4232	0.2424	2	90%	5.5628	5.5625	-7.0614	23.8357	NOT COLORED	ACHIRAL	Solid	NA	0	0
360_1033	selected	DC	0.3478	0.295	0.4725	0.3929	3	90%	5.5589	5.5582	-5.8161	23.445	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1456092	1
668_1213	selected	DC	0.5799	0.21	0.3875	0.2522	18	90%	5.5452	5.4801	-6.0348	21.0134	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
612_1278	selected	DC	0.2977	0.2223	0.4931	0.2151	28	90%	5.5385	5.2952	-5.9287	7.5244	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1553318	1
928_1203	selected	DC	0.4443	0.2251	0.2341	0.3004	9	90%	5.476	5.4759	-6.0557	26.1078	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
330_1215	selected	DC	0.3889	0.2449	0.2364	0.3215	63	90%	5.4585	5.4584	-5.4153	25.0201	YELLOW	RACEMIC MIXTURE	Solid	NA	0	0
659_1217	selected	DC	0.5733	0.2263	0.4206	0.2784	6	90%	5.4329	5.3169	-5.9279	21.0462	NOT COLORED	ACHIRAL	Solid	NA	0	0
650_1673	selected	DC	0.2847	0.2543	0.5418	0.3391	1	90%	5.4272	5.4272	-5.9978	11.7196	NOT COLORED	ACHIRAL	Solid	NA	0	0
258_1105	selected	DC	0.2059	0.2266	0.5999	0.2868	8	90%	5.408	5.408	-6.284	14	NOT COLORED	ACHIRAL	Solid	NA	0	0
594_1316	selected	DC	0.3412	0.2179	0.4236	0.2364	1	90%	5.396	5.3957	-5.7346	23.8357	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1391366	1
309_1691	selected	DC	0.2023	0.295	0.3363	0.5026	46	90%	5.3646	5.3645	-5.7769	11.6593	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4986292, CHEMBL4942033	2
914_1041	selected	DC	0.5817	0.2101	0.395	0.2542	1	90%	5.3394	5.2783	-6.0493	21.0134	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
32_1557	selected	DC	0.483	0.2408	0.4028	0.2991	2	90%	5.3256	5.3252	-5.4352	23.3428	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL3431335	1
