compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
965_1329	selected	DC	0.343	0.5631	0.6191	0.6922	25	90%	3.5375	3.4586	-3.2867	21.2695	YELLOW	ACHIRAL	Solid	NA	0	0
88_1661	selected	DC	0.5393	0.7246	0.4041	0.5507	102	90%	3.477	3.3784	-4.0402	7.9939	YELLOW	ACHIRAL	Solid	NA	CHEMBL1375506, CHEMBL1566864, CHEMBL1451521	3
212_1574	selected	DC	0.3506	0.2319	0.4663	0.3115	2	90%	3.461	3.461	-3.8707	23.6512	NOT COLORED	ACHIRAL	Solid	NA	0	0
773_1370	selected	DC	0.3779	0.2154	0.3869	0.2761	1	90%	3.4608	3.4602	-3.3328	10.6195	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5006070	1
798_1693	selected	DC	0.258	0.2034	0.3736	0.2366	6	90%	3.4581	3.4493	-3.5666	14.3878	NOT COLORED	ACHIRAL	Solid	NA	0	0
671_1634	selected	DC	0.216	0.2213	0.3337	0.2901	3	90%	3.4511	3.451	-3.41	14.0251	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1544803, CHEMBL1715952	2
153_1641	selected	DC	0.6032	0.3997	0.2751	0.2802	74	90%	3.4098	3.4074	-3.889	9.6607	NOT COLORED	ACHIRAL	Solid	NA	0	0
503_1214	selected	DC	0.3284	0.2191	0.608	0.2838	41	90%	3.3766	3.3766	-3.5258	23.0562	YELLOW	ACHIRAL	Solid	314035-82-0	CHEMBL1386715, CHEMBL3637800	2
322_1658	selected	DC	0.3215	0.2435	0.4005	0.2464	5	90%	3.3757	3.3743	-3.6912	24.7178	NOT COLORED	ACHIRAL	Solid	NA	0	0
845_1709	selected	DC	0.5839	0.2239	0.4802	0.2486	50	90%	3.36	3.34	-3.66	8.77	NOT COLORED	ACHIRAL	Solid	NA	0	0
10_1310	selected	DC	0.351	0.2074	0.4166	0.246	7	90%	3.3599	3.351	-3.7341	12.2282	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1503904, CHEMBL1335780, CHEMBL5088940, CHEMBL175893, CHEMBL183623	5
252_1850	selected	DC	0.506	0.7354	0.4593	0.5616	136	90%	3.3374	3.2388	-3.8547	7.9939	NOT COLORED	ACHIRAL	Solid	NA	0	0
302_1127	selected	DC	0.5231	0.7287	0.3702	0.5523	91	90%	3.3056	3.2899	-3.7676	8.8331	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1566864, CHEMBL1375506, CHEMBL1451521	3
526_1865	selected	DC	0.549	0.2535	0.7807	0.4832	14	90%	3.2739	3.2739	-4.0069	14	BROWN	ACHIRAL	Solid	NA	0	0
57_1719	selected	DC	0.5559	0.216	0.4202	0.2326	5	90%	3.2701	3.2701	-3.5269	12.0517	NOT COLORED	ACHIRAL	Solid	NA	0	0
138_1800	selected	DC	0.3441	0.2512	0.4202	0.2645	15	90%	3.1741	3.1736	-3.4546	32.859	NOT COLORED	ACHIRAL	Solid	NA	0	0
355_1407	selected	DC	0.5976	0.2019	0.2055	0.2123	9	90%	3.1524	3.1524	-3.3282	14.3664	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL4974365	1
639_1229	selected	DC	0.5026	0.6014	0.2944	0.4603	162	90%	3.1477	3.1469	-3.7051	10.149	NOT COLORED	ACHIRAL	Solid	NA	0	0
87_1758	selected	DC	0.4876	0.2142	0.4108	0.2125	194	90%	3.1452	3.1428	-3.5218	9.7577	NOT COLORED	ACHIRAL	Solid	NA	0	0
307_1630	selected	DC	0.4793	0.714	0.349	0.5751	125	90%	3.1012	3.0593	-3.7134	8.395	NOT COLORED	ACHIRAL	Solid	NA	0	0
780_1384	selected	DC	0.6178	0.4206	0.2446	0.2985	10	90%	3.0196	2.7849	-3.6093	7.5447	NOT COLORED	ACHIRAL	Solid	NA	0	0
550_1005	selected	DC	0.5149	0.2253	0.4941	0.2595	170	90%	3.0063	3.0042	-3.6974	10.5446	BROWN	ACHIRAL	Solid	NA	0	0
522_1147	selected	DC	0.4677	0.6069	0.3063	0.5141	151	90%	3.005	2.9145	-3.6849	8.0349	YELLOW	ACHIRAL	Solid	NA	0	0
601_1845	selected	DC	0.5644	0.2754	0.4384	0.3253	27	90%	2.9619	2.9615	-3.4183	10.4319	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1340495	1
571_1411	selected	DC	0.5283	0.2217	0.3906	0.2677	46	90%	2.9393	2.9389	-3.6513	10.5201	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1413057, CHEMBL1506600	2
920_1866	selected	DC	0.4694	0.684	0.3199	0.54	95	90%	2.9113	2.8128	-3.6995	7.9939	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1451521, CHEMBL1375506, CHEMBL1566864	3
847_1104	selected	DC	0.5294	0.6039	0.2963	0.5057	113	90%	2.8652	2.7666	-3.9244	7.9939	YELLOW	ACHIRAL	Solid	NA	0	0
556_1248	selected	DC	0.5287	0.5991	0.3267	0.4547	133	90%	2.8646	2.8584	-3.7193	9.2374	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1566864, CHEMBL1375506	2
144_1345	selected	DC	0.7362	0.5741	0.2436	0.4106	46	90%	2.7948	2.7932	-3.5659	9.8314	YELLOW	ACHIRAL	Solid	NA	0	0
594_1259	selected	DC	0.2919	0.2203	0.7328	0.4554	13	90%	2.7871	2.7871	-3.3865	14	BROWN	ACHIRAL	Solid	NA	CHEMBL1568503	1
450_1945	selected	DC	0.2233	0.2635	0.4776	0.4252	1	90%	2.721	2.721	-2.8167	23.2199	NOT COLORED	ACHIRAL	Solid	NA	0	0
888_1255	selected	DC	0.5114	0.5287	0.2855	0.4083	63	90%	2.7073	2.5138	-3.7282	7.6508	ORANGE	ACHIRAL	Solid	NA	CHEMBL1600867	1
250_1461	selected	DC	0.4221	0.2395	0.4624	0.3319	2	90%	2.6784	2.6784	-2.9622	23.6512	NOT COLORED	ACHIRAL	Oil	NA	0	0
859_1364	selected	DC	0.4509	0.2009	0.225	0.2357	1	90%	2.6758	2.5306	-2.7877	21.0989	NOT COLORED	ACHIRAL	Solid	NA	0	0
257_1200	selected	DC	0.6102	0.2231	0.4556	0.2304	46	90%	2.5191	2.5158	-3.4518	9.5198	NOT COLORED	ACHIRAL	Solid	NA	0	0
817_1692	selected	DC	0.4808	0.2272	0.4404	0.2492	14	90%	2.4981	2.4981	-3.0615	12.1176	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL66761	1
625_1229	selected	DC	0.7484	0.3578	0.2465	0.2693	28	90%	2.4325	2.4297	-3.1883	9.5942	YELLOW	ACHIRAL	Solid	NA	0	0
133_1851	selected	DC	0.3508	0.2058	0.2933	0.2524	10	90%	2.39	2.3811	-2.85	11.832	NOT COLORED	ACHIRAL	Solid	NA	0	0
705_1185	selected	DC	0.2205	0.3759	0.2885	0.312	98	90%	2.252	2.245	-2.472	9.197	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1521347, CHEMBL1380788	2
683_1671	selected	DC	0.2191	0.5183	0.375	0.3569	100	90%	2.251	2.247	-2.324	9.368	NOT COLORED	ACHIRAL	Solid	NA	0	0
715_1067	selected	DC	0.5819	0.204	0.3307	0.2632	21	90%	2.2261	2.2237	-2.0178	26.0296	ORANGE	RACEMIC MIXTURE	Solid	NA	0	0
903_1175	selected	DC	0.4251	0.4926	0.2605	0.343	32	90%	2.1548	2.1503	-2.999	9.3826	ORANGE	ACHIRAL	Solid	NA	CHEMBL1543446	1
160_1389	selected	DC	0.3604	0.2432	0.2754	0.2676	50	90%	2.15	2	-3.1	11.74	NOT COLORED	ACHIRAL	Solid	NA	0	0
343_1481	selected	DC	0.3914	0.2459	0.4767	0.3675	1	90%	1.9435	1.9381	-2.3711	23.445	NOT COLORED	ACHIRAL	Solid	NA	0	0
731_1960	selected	DC	0.4211	0.9855	0.2463	0.4129	384	90%	1.7264	0.9983	-1.786	22.9701	BROWN	ACHIRAL	Solid	NA	0	0
909_1828	selected	DC	0.2122	0.2519	0.5016	0.3648	1	90%	1.6761	1.6595	-1.9857	23.445	NOT COLORED	ACHIRAL	Solid	NA	0	0
78_1727	selected	DC	0.3191	0.3406	0.5629	0.4894	5	90%	1.6008	1.5534	-1.2111	14.916	NOT COLORED	ACHIRAL	Solid	NA	0	0
610_1439	selected	DC	0.4341	0.2019	0.3313	0.2355	50	90%	1.52	1.37	-2.38	11.83	NOT COLORED	ACHIRAL	Solid	NA	0	0
880_1926	selected	DC	0.2849	0.3697	0.2372	0.2949	34	90%	1.4185	-1.8124	-1.7095	12.9261	NOT COLORED	ACHIRAL	Solid	NA	0	0
841_1940	selected	DC	0.6001	0.2723	0.5162	0.3263	18	90%	1.2079	1.1419	-2.1442	8.1847	NOT COLORED	ACHIRAL	Solid	NA	0	0
836_1822	selected	DC	0.3576	0.4885	0.2627	0.3714	55	90%	1.0938	-2.1371	-1.158	13.4583	NOT COLORED	ACHIRAL	Solid	NA	0	0
649_1048	selected	DC	0.4049	0.3789	0.292	0.2995	91	90%	1.0683	-2.1626	-1.9385	12.9261	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL375434	1
293_1225	selected	DC	0.3876	0.2405	0.2195	0.4033	7	90%	0.5601	0.4951	-1.852	8.2155	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL3444323	1
523_1071	selected	DC	0.3947	0.525	0.2547	0.3923	55	90%	0.406	-2.8249	-0.9926	13.5795	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL3183356	1
635_1237	selected	IC	0.487	0.8721	0.2461	0.8289	71	90%	2.7525	2.7525	-2.9534	13.6936	BROWN	RACEMIC MIXTURE	Solid	NA	0	0
708_1546	random	DC	NA	NA	NA	NA	31	90%	1.6492	1.4894	-2.832	7.7521	NOT COLORED	ACHIRAL	Solid	NA	0	0
928_1972	random	IC	NA	NA	NA	NA	74	90%	0.6671	0.6648	-0.8219	22.2138	YELLOW	ACHIRAL	Solid	NA	0	0
306_1216	random	DC	NA	NA	NA	NA	38	90%	3.7696	3.7696	-4.3027	14.389	NOT COLORED	MIXTURE OF STEREOISOMERS	Solid	NA	CHEMBL460700	1
195_1285	random	DC	NA	NA	NA	NA	50	90%	2.92	2.92	-3.21	2.95	NOT COLORED	ACHIRAL	Solid	878430-56-9	0	0
231_1138	random	DC	NA	NA	NA	NA	18	90%	3.6541	3.6541	-4.0802	21.074	YELLOW	ACHIRAL	Solid	NA	CHEMBL4944656	1
502_1790	random	DC	NA	NA	NA	NA	138	90%	2.59	1.6	-3.74	6.46	ORANGE	ACHIRAL	Solid	NA	0	0
157_1998	random	IC	NA	NA	NA	NA	10	90%	2.9052	2.9052	-3.1787	22.5849	ORANGE	RELATIVE	Oil	NA	0	0
64_1223	random	DC	NA	NA	NA	NA	33	90%	4.6486	4.3359	-4.5446	7.3769	YELLOW	ACHIRAL	Solid	NA	0	0
594_1989	random	DC	NA	NA	NA	NA	12	90%	1.4123	1.4122	-2.4171	10.9436	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL3190424, CHEMBL1980559, CHEMBL3189435	3
114_1103	random	DC	NA	NA	NA	NA	28	90%	5.1921	5.1921	-5.7634	13.7822	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
4_1941	random	DC	NA	NA	NA	NA	101	90%	3.4586	3.4586	-3.8853	29.2646	BROWN	ACHIRAL	Solid	NA	CHEMBL5424924	1
696_1038	random	DC	NA	NA	NA	NA	217	90%	3.611	3.4905	-3.9798	7.8952	ORANGE	ACHIRAL	Solid	NA	0	0
874_1477	random	DC	NA	NA	NA	NA	6	90%	4.5598	4.5598	-4.3788	14.4831	NOT COLORED	ACHIRAL	Solid	NA	0	0
416_1071	random	DC	NA	NA	NA	NA	25	90%	3.4009	3.2684	-3.691	13.9413	NOT COLORED	ACHIRAL	Solid	NA	0	0
244_1986	random	DC	NA	NA	NA	NA	111	90%	2.1183	2.1181	-2.8508	10.8275	NOT COLORED	ACHIRAL	Solid	NA	0	0
255_1318	random	DC	NA	NA	NA	NA	5	90%	4.1792	4.1792	-4.4093	12.3706	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
813_1992	random	DC	NA	NA	NA	NA	1	90%	4.309	3.7083	-4.3998	27.421	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL4899886, CHEMBL4927109	2
939_1735	random	DC	NA	NA	NA	NA	2	90%	0.6569	-0.7843	-1.417	13.8378	NOT COLORED	ACHIRAL	Solid	NA	0	0
425_1720	random	DC	NA	NA	NA	NA	5	90%	5.0148	5.0148	-4.6859	13.8873	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1307553	1
446_1069	random	DC	NA	NA	NA	NA	14	90%	6.3508	6.031	-6.3933	7.3632	NOT COLORED	MIXTURE OF STEREOISOMERS	Solid	NA	0	0
845_1338	random	DC	NA	NA	NA	NA	18	90%	6.3971	3.2615	-5.7629	14.0681	NOT COLORED	MIXTURE OF STEREOISOMERS	Solid	NA	0	0
370_1703	random	DC	NA	NA	NA	NA	47	90%	2.8968	2.8916	-3.4323	9.3222	NOT COLORED	ACHIRAL	Solid	NA	0	0
977_1371	random	DC	NA	NA	NA	NA	37	90%	3.3828	0.3338	-3.5453	25.9452	NOT COLORED	ACHIRAL	Solid	NA	0	0
254_1720	random	DC	NA	NA	NA	NA	235	90%	4.0582	3.9906	-3.8652	8.1733	YELLOW	ACHIRAL	Solid	NA	CHEMBL1896479, CHEMBL1444160, CHEMBL1552580	3
254_1286	random	DC	NA	NA	NA	NA	35	90%	5.1052	5.1016	-5.3993	15.3612	NOT COLORED	ACHIRAL	Solid	NA	0	0
102_1730	random	DC	NA	NA	NA	NA	3	90%	6.5176	6.5174	-5.5931	10.7587	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
399_1529	random	DC	NA	NA	NA	NA	50	90%	5.83	5.83	-6.69	14	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4530773	1
955_1344	random	DC	NA	NA	NA	NA	1	90%	4.1929	4.183	-4.4148	9.0396	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1555146	1
402_1942	random	NC	NA	NA	NA	NA	11	90%	3.5196	3.5196	-3.6695	21.2453	NOT COLORED	ACHIRAL	Solid	NA	0	0
729_1571	random	DC	NA	NA	NA	NA	219	90%	2.9201	2.9201	-3.5169	15.2154	NOT COLORED	ACHIRAL	Solid	NA	0	0
53_1509	random	IC	NA	NA	NA	NA	39	90%	3.7798	3.7798	-3.9793	14.8922	YELLOW	RACEMIC MIXTURE	Liquid	NA	0	0
486_1053	random	NC	NA	NA	NA	NA	1	90%	5.6898	5.6898	-5.4108	13.7853	YELLOW	ACHIRAL	Solid	NA	CHEMBL4988384	1
258_1711	random	DC	NA	NA	NA	NA	28	90%	3.0764	1.6653	-3.2153	6.0061	NOT COLORED	ACHIRAL	Solid	NA	0	0
274_1467	random	DC	NA	NA	NA	NA	2	90%	2.0328	1.3453	-2.372	22.0117	NOT COLORED	ACHIRAL	Liquid	NA	0	0
925_1416	random	NC	NA	NA	NA	NA	92	90%	2.9325	2.4327	-3.3372	12.6524	YELLOW	RACEMIC MIXTURE	Solid	NA	0	0
452_1110	random	NC	NA	NA	NA	NA	2	90%	1.5144	1.5144	-2.2254	14.1753	PINK	ACHIRAL	Solid	NA	CHEMBL4972195, CHEMBL4963187, CHEMBL5022313	3
356_1703	random	DC	NA	NA	NA	NA	32	90%	4.1153	4.1011	-4.5964	8.8771	ORANGE	ACHIRAL	Solid	NA	0	0
138_1003	random	DC	NA	NA	NA	NA	5	90%	3.8387	3.8384	-4.2743	10.6555	NOT COLORED	ACHIRAL	Solid	NA	0	0
844_1113	random	DC	NA	NA	NA	NA	43	90%	2.7054	-0.658	-2.7915	3.7701	NOT COLORED	ACHIRAL	Solid	NA	0	0
105_1867	random	DC	NA	NA	NA	NA	165	90%	1.5696	1.5582	-2.5961	8.9767	NOT COLORED	ACHIRAL	Solid	NA	0	0
386_1726	random	NC	NA	NA	NA	NA	103	90%	3.9745	3.9591	-4.0196	12.6488	ORANGE	ACHIRAL	Solid	NA	0	0
951_1465	random	NC	NA	NA	NA	NA	17	90%	4.5105	4.508	-4.2293	9.6434	NOT COLORED	ACHIRAL	Solid	NA	0	0
975_1917	random	DC	NA	NA	NA	NA	197	90%	3.3632	3.3584	-3.9398	9.3549	BROWN	ACHIRAL	Solid	NA	0	0
973_1201	random	DC	NA	NA	NA	NA	39	90%	3.9483	3.9483	-4.2916	21.4646	ORANGE	RACEMIC MIXTURE	Solid	NA	0	0
787_1339	random	DC	NA	NA	NA	NA	33	90%	3.9616	3.9564	-4.1371	9.3176	ORANGE	RACEMIC MIXTURE	Solid	NA	CHEMBL3446091, CHEMBL3446084	2
376_1491	random	IC	NA	NA	NA	NA	1	90%	2.6192	1.8954	-2.7934	10.6577	ORANGE	ACHIRAL	Liquid	NA	0	0
165_1224	random	DC	NA	NA	NA	NA	224	90%	3.6264	3.5599	-4.1268	8.1814	ORANGE	ACHIRAL	Solid	NA	CHEMBL1516291	1
78_1526	random	DC	NA	NA	NA	NA	40	90%	5.0536	5.0536	-5.1024	28.8002	ORANGE	ACHIRAL	Solid	NA	0	0
357_1707	random	DC	NA	NA	NA	NA	1	90%	9.557	9.5109	-6.0334	24.078	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
990_1394	random	NC	NA	NA	NA	NA	2	90%	5.0864	5.0864	-4.8525	11.9939	NOT COLORED	ACHIRAL	Solid	NA	0	0
941_1017	random	DC	NA	NA	NA	NA	37	90%	5.778	5.3271	-5.9233	10.7357	YELLOW	ACHIRAL	Solid	NA	CHEMBL1556477	1
625_1761	random	DC	NA	NA	NA	NA	166	90%	3.2054	3.2054	-3.7321	11.9134	RED	ACHIRAL	Solid	NA	0	0
65_1695	random	DC	NA	NA	NA	NA	26	90%	4.6407	4.6406	-4.3597	11.3986	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1536170, CHEMBL2362953, CHEMBL1513298, CHEMBL1357678, CHEMBL1877623, CHEMBL1607174	6
737_1811	random	DC	NA	NA	NA	NA	3	90%	4.5511	4.5506	-4.463	10.299	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1418212	1
750_1623	random	NC	NA	NA	NA	NA	5	90%	4.8913	4.8913	-4.6371	13.5796	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5002327	1
541_1765	random	DC	NA	NA	NA	NA	40	90%	4.3384	4.3384	-4.7229	22.6655	YELLOW	ACHIRAL	Solid	NA	CHEMBL1346199	1
397_1432	random	NC	NA	NA	NA	NA	52	90%	3.4913	3.4913	-3.5659	12.4482	NOT COLORED	ACHIRAL	Solid	NA	0	0
39_1643	random	DC	NA	NA	NA	NA	9	90%	1.517	-2.6122	-2.2267	3.2709	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1894051, CHEMBL1410282	2
725_1916	random	NC	NA	NA	NA	NA	19	90%	4.131	4.131	-4.4161	15.0987	BROWN	ACHIRAL	Liquid	NA	0	0
325_1485	random	NC	NA	NA	NA	NA	24	90%	3.8361	3.8361	-4.2706	13.8695	NOT COLORED	ACHIRAL	Solid	NA	0	0
840_1050	random	DC	NA	NA	NA	NA	144	90%	3.4235	3.4235	-3.7546	21.5732	ORANGE	ACHIRAL	Solid	NA	0	0
463_1066	random	DC	NA	NA	NA	NA	53	90%	2.4074	-1.3204	-2.5773	3.6723	ORANGE	ACHIRAL	Solid	NA	CHEMBL197764, CHEMBL427195, CHEMBL381845, CHEMBL2172008, CHEMBL200605, CHEMBL1927186, CHEMBL439032	7
686_1810	random	NC	NA	NA	NA	NA	123	90%	2.6457	2.6457	-3.0413	11.7531	ORANGE	ACHIRAL	Solid	NA	0	0
491_1857	random	DC	NA	NA	NA	NA	26	90%	4.8814	4.8814	-4.5577	13.6512	NOT COLORED	ACHIRAL	Solid	NA	0	0
277_1829	random	DC	NA	NA	NA	NA	4	90%	3.0121	3.012	-3.1942	10.8398	YELLOW	ACHIRAL	Solid	NA	0	0
426_1962	random	DC	NA	NA	NA	NA	98	90%	3.938	3.9363	-4.0936	9.8251	NOT COLORED	ACHIRAL	Solid	NA	0	0
563_1133	random	DC	NA	NA	NA	NA	62	90%	5.0509	5.0509	-5.3305	18.9549	NOT COLORED	MIXTURE OF STEREOISOMERS	Solid	NA	0	0
30_1977	random	DC	NA	NA	NA	NA	114	90%	1.6576	1.656	-2.4715	9.8424	YELLOW	ACHIRAL	Solid	NA	0	0
353_1246	random	NC	NA	NA	NA	NA	3	90%	5.5406	5.4883	-5.5709	22.9064	NOT COLORED	ACHIRAL	Solid	NA	0	0
444_1409	random	DC	NA	NA	NA	NA	4	90%	4.3093	4.3093	-4.6241	22.8929	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5003478, CHEMBL4892223, CHEMBL4899551	3
272_1861	random	DC	NA	NA	NA	NA	50	90%	2.37	2.37	-3.29	10.32	NOT COLORED	ACHIRAL	Solid	NA	0	0
410_1465	random	DC	NA	NA	NA	NA	152	90%	3.2031	3.2031	-3.1457	25.0709	NOT COLORED	ACHIRAL	Solid	NA	0	0
74_1428	random	DC	NA	NA	NA	NA	15	90%	4.273	4.2708	-4.0777	15.0806	YELLOW	ACHIRAL	Solid	NA	0	0
262_1573	random	DC	NA	NA	NA	NA	149	90%	3.6925	3.6925	-3.983	12.5557	NOT COLORED	ACHIRAL	Solid	NA	0	0
76_1829	random	DC	NA	NA	NA	NA	15	90%	4.812	4.812	-4.8092	28.9141	YELLOW	ACHIRAL	Solid	NA	0	0
462_1092	random	DC	NA	NA	NA	NA	136	90%	4.4408	4.4386	-4.5894	14.1094	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1436986	1
490_1879	random	DC	NA	NA	NA	NA	27	90%	4.9153	4.9153	-5.2981	33.286	ORANGE	ACHIRAL	Solid	NA	0	0
811_1777	random	DC	NA	NA	NA	NA	2	90%	4.3108	3.7204	-4.3428	17.8322	YELLOW	ACHIRAL	Solid	NA	0	0
798_1678	random	DC	NA	NA	NA	NA	162	90%	2.5896	2.5896	-3.0896	25.4548	YELLOW	ACHIRAL	Solid	NA	CHEMBL1438590	1
167_1654	random	IC	NA	NA	NA	NA	39	90%	3.3686	3.3686	-3.6072	17.3987	YELLOW	RELATIVE	Oil	NA	0	0
113_1051	random	DC	NA	NA	NA	NA	1	90%	0.7056	0.5539	-2.1376	7.779	NOT COLORED	ACHIRAL	Solid	NA	0	0
806_1830	random	IC	NA	NA	NA	NA	3	90%	1.9718	1.9717	-2.3597	24.6028	YELLOW	RACEMIC MIXTURE	Liquid	NA	0	0
696_1608	random	NC	NA	NA	NA	NA	24	90%	4.1111	0.6863	-4.1608	3.9753	YELLOW	ACHIRAL	Solid	NA	CHEMBL4906846	1
17_1621	random	DC	NA	NA	NA	NA	1	90%	5.6372	5.4678	-5.4249	23.8995	NOT COLORED	ACHIRAL	Solid	NA	0	0
197_1050	random	DC	NA	NA	NA	NA	650	90%	4	4	-4.42	9.92	BROWN	ACHIRAL	Solid	NA	0	0
91_1507	random	DC	NA	NA	NA	NA	22	90%	-1.7265	-2.5628	-1.7014	6.6321	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
732_1352	random	DC	NA	NA	NA	NA	2	90%	5.2643	5.2643	-6.0557	26.5472	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1593268, CHEMBL1611739, CHEMBL1552719, CHEMBL1357582, CHEMBL1515576, CHEMBL2016634, CHEMBL1483505, CHEMBL1506016, CHEMBL1443282, CHEMBL1315989, CHEMBL1579640, CHEMBL1363966	12
203_1423	random	DC	NA	NA	NA	NA	11	90%	1.6272	1.2834	-1.4759	27.672	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
499_1665	random	DC	NA	NA	NA	NA	74	90%	5.3359	2.8472	-5.935	9.187	NOT COLORED	ACHIRAL	Solid	NA	0	0
440_1151	random	DC	NA	NA	NA	NA	2	90%	2.7936	2.7487	-3.1543	8.1307	NOT COLORED	ACHIRAL	Solid	NA	0	0
917_1514	random	DC	NA	NA	NA	NA	8	90%	2.8551	2.8388	-3.0592	22.4386	NOT COLORED	RACEMIC MIXTURE	Oil	NA	0	0
757_1130	random	DC	NA	NA	NA	NA	18	90%	7.2009	7.2008	-5.5537	11.816	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
85_1711	random	DC	NA	NA	NA	NA	7	90%	4.1782	4.1749	-4.5689	9.516	YELLOW	ACHIRAL	Solid	NA	CHEMBL1968220	1
759_1215	random	DC	NA	NA	NA	NA	2	90%	4.4489	4.4487	-4.2088	10.9424	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5001775, CHEMBL4973267, CHEMBL4929368	3
486_1128	random	DC	NA	NA	NA	NA	3	90%	6.0049	5.9389	-5.6319	8.1848	NOT COLORED	ACHIRAL	Solid	NA	0	0
142_1542	random	DC	NA	NA	NA	NA	28	90%	2.1805	2.1805	-2.7806	33.286	YELLOW	ACHIRAL	Solid	NA	0	0
882_1589	random	DC	NA	NA	NA	NA	6	90%	2.5424	2.5424	-2.7501	11.3601	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
897_1515	random	DC	NA	NA	NA	NA	111	90%	2.9132	2.9132	-3.4166	16.493	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL2251962	1
310_1347	random	DC	NA	NA	NA	NA	152	90%	2.5709	2.5602	-2.955	9.0154	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
550_1699	random	DC	NA	NA	NA	NA	21	90%	4.9866	4.984	-4.8863	10.4514	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1395651, CHEMBL1364285, CHEMBL1555101, CHEMBL1516297, CHEMBL1361820	5
713_1786	random	DC	NA	NA	NA	NA	1	90%	4.953	4.953	-4.9194	29.5898	ORANGE	ACHIRAL	Solid	NA	0	0
846_1842	random	DC	NA	NA	NA	NA	2	90%	5.1508	5.1508	-5.3987	11.1061	NOT COLORED	ACHIRAL	Solid	NA	0	0
431_1719	random	IC	NA	NA	NA	NA	15	90%	3.8812	3.8811	-4.2664	26.1038	NOT COLORED	ACHIRAL	Solid	NA	0	0
948_1514	random	DC	NA	NA	NA	NA	39	90%	6.3612	6.3612	-6.4741	28.3737	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1367423	1
769_1796	random	DC	NA	NA	NA	NA	30	90%	3.3468	0.4286	-3.4801	4.4823	NOT COLORED	ACHIRAL	Solid	NA	0	0
987_1738	random	IC	NA	NA	NA	NA	41	90%	1.9175	1.9175	-2.0419	17.9425	NOT COLORED	RACEMIC MIXTURE	Oil	NA	0	0
128_1341	random	DC	NA	NA	NA	NA	1	90%	5.7244	5.7224	-5.5082	21.6861	NOT COLORED	ACHIRAL	Oil	NA	0	0
717_1856	random	NC	NA	NA	NA	NA	77	90%	3.355	3.355	-3.4524	12.563	NOT COLORED	ACHIRAL	Solid	NA	0	0
731_1417	random	DC	NA	NA	NA	NA	10	90%	4.5913	3.2811	-4.8292	6.1116	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
974_1536	random	DC	NA	NA	NA	NA	3	90%	5.0208	5.0179	-4.5308	9.5822	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1603882	1
724_1197	random	DC	NA	NA	NA	NA	39	90%	5.5853	5.5853	-6.134	20.3324	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL5021847	1
266_1593	random	DC	NA	NA	NA	NA	60	90%	3.6582	3.0106	-4.1137	6.8632	NOT COLORED	ACHIRAL	Solid	NA	0	0
